Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
SPLIL,"SPL INDUSTRIES",3055361,11935,EQ,NSE,NSE,True
MCLEODRUSS-BE,"MCLEOD RUSSEL INDIA",3057665,11944,EQ,NSE,NSE,True
ANZEN-IV,"ANZEN IND ENE YLD PLU TRU",3057921,11945,EQ,NSE,NSE,True
MEDANTA,"GLOBAL HEALTH",3060737,11956,EQ,NSE,NSE,True
SEMAC-BE,"SEMAC CONSTRUCTION",3062785,11964,EQ,NSE,NSE,True
BIKAJI,"BIKAJI FOODS INTERN",3063297,11966,EQ,NSE,NSE,True
VIVIMEDLAB-BE,"VIVIMED LABS",3063809,11968,EQ,NSE,NSE,True
GOLDIAM,"GOLDIAM INTERNATIONAL",3064577,11971,EQ,NSE,NSE,True
RML,"RANE (MADRAS)",3065601,11975,EQ,NSE,NSE,True
HTMEDIA,"HT MEDIA",3066625,11979,EQ,NSE,NSE,True
SASKEN,"SASKEN TECHNOLOGIES",3067649,11983,EQ,NSE,NSE,True
ICIL,"INDO COUNT INDUSTRIES",3068673,11987,EQ,NSE,NSE,True
SYNCOMF,"SYNCOM FORMU (I)",3069953,11992,EQ,NSE,NSE,True
FAZE3Q,"FAZE THREE",3072001,12000,EQ,NSE,NSE,True
FCSSOFT-BE,"FCS SOFTWARE SOLN.",3072513,12002,EQ,NSE,NSE,True
IMPAL,"IND MOTOR PART & ACC",3074305,12009,EQ,NSE,NSE,True
AEROENTER,"AEROFLEX ENTERPRISES",3075841,12015,EQ,NSE,NSE,True
SUZLON,"SUZLON ENERGY",3076609,12018,EQ,NSE,NSE,True
AURIONPRO,"AURIONPRO SOLN",3077633,12022,EQ,NSE,NSE,True
ACI,"ARCHEAN CHEMICAL IND",3078145,12024,EQ,NSE,NSE,True
RENUKA,"SHREE RENUKA SUGARS",3078657,12026,EQ,NSE,NSE,True
FIVESTAR,"FIVE-STAR BUS FIN",3080193,12032,EQ,NSE,NSE,True
BASML-BE,"BANNARI AM SPIN MILL",3081473,12037,EQ,NSE,NSE,True
SCPL,"SHEETAL COOL PRODUCTS",3090433,12072,EQ,NSE,NSE,True
KAYNES,"KAYNES TECHNOLOGY IND",3095553,12092,EQ,NSE,NSE,True
HDFCNIFIT,"HDFC NIFTY IT ETF",3097857,12101,EQ,NSE,NSE,True
HDFCPVTBAN,"HDFC NIFTY PRIVATE BANK ETF",3099649,12108,EQ,NSE,NSE,True
HDFCPBINAV,"HDFCAMC - HDFCPBINAV",3102465,12119,EQ,NSE,NSE,True
DOLATALGO,"DOLAT ALGOTECH",3103745,12124,EQ,NSE,NSE,True
